Time,Acceleration_X,Acceleration_Y,Acceleration_Z
aworld,7.0,-26.0,50.0
aworld,10.0,52.0,15.0
aworld,-34.0,25.0,-97.0
aworld,-14.0,17.0,-91.0
aworld,-11.0,-29.0,16.0
aworld,45.0,-42.0,7.0
aworld,-81.0,-63.0,140.0
aworld,36.0,32.0,15.0
aworld,-20.0,53.0,10.0
aworld,-20.0,-33.0,-42.0
aworld,79.0,-32.0,17.0
aworld,11.0,-34.0,-45.0
aworld,-17.0,-67.0,68.0
aworld,70.0,10.0,-57.0
aworld,24.0,56.0,71.0
aworld,-119.0,3.0,-84.0
aworld,-47.0,-47.0,-80.0
aworld,0.0,27.0,90.0
aworld,-52.0,13.0,92.0
aworld,-56.0,9.0,44.0
aworld,40.0,38.0,7.0
aworld,-56.0,29.0,-14.0
aworld,-65.0,-83.0,96.0
aworld,7.0,-46.0,72.0
aworld,-3.0,-55.0,54.0
aworld,-1.0,-33.0,6.0
aworld,-62.0,5.0,40.0
aworld,7.0,-14.0,58.0
aworld,29.0,-36.0,70.0
aworld,68.0,12.0,-71.0
aworld,24.0,28.0,29.0
aworld,-24.0,27.0,-67.0
aworld,13.0,-100.0,96.0
aworld,-60.0,15.0,-58.0
aworld,-14.0,77.0,96.0
aworld,-1.0,-23.0,70.0
aworld,20.0,38.0,49.0
aworld,-37.0,-101.0,12.0
aworld,-34.0,13.0,102.0
aworld,32.0,48.0,93.0
aworld,16.0,6.0,114.0
aworld,34.0,-2.0,97.0
aworld,22.0,38.0,27.0
aworld,-31.0,-49.0,76.0
aworld,83.0,-18.0,-15.0
aworld,-8.0,55.0,-7.0
aworld,-12.0,13.0,10.0
aworld,-14.0,-1.0,168.0
aworld,14.0,2.0,3.0
aworld,18.0,34.0,61.0
aworld,-32.0,21.0,-44.0
aworld,12.0,40.0,43.0
aworld,2.0,49.0,80.0
aworld,-24.0,49.0,28.0
aworld,-15.0,-13.0,-85.0
aworld,-28.0,21.0,114.0
aworld,-93.0,-59.0,-104.0
aworld,-33.0,-11.0,6.0
